id,Series_Title,Released_Year,Runtime,Genre,Overview,Director
673,Glory,1989,122 min,"Biography, Drama, History","Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Edward Zwick
674,Dip huet seung hung,1989,111 min,"Action, Crime, Drama",A disillusioned assassin accepts one last hit in hopes of using his earnings to restore vision to a singer he accidentally blinded.,John Woo
675,Back to the Future Part II,1989,108 min,"Adventure, Comedy, Sci-Fi","After visiting 2015, Marty McFly must repeat his visit to 1955 to prevent disastrous changes to 1985...without interfering with his first trip.",Robert Zemeckis
676,Mississippi Burning,1988,128 min,"Crime, Drama, History",Two F.B.I. Agents with wildly different styles arrive in Mississippi to investigate the disappearance of some civil rights activists.,Alan Parker
677,Predator,1987,107 min,"Action, Adventure, Sci-Fi",A team of commandos on a mission in a Central American jungle find themselves hunted by an extraterrestrial warrior.,John McTiernan
678,Evil Dead II,1987,84 min,"Action, Comedy, Fantasy",The lone survivor of an onslaught of flesh-possessing spirits holes up in a cabin with a group of strangers while the demons continue their attack.,Sam Raimi
679,Ferris Bueller's Day Off,1986,103 min,Comedy,"A high school wise guy is determined to have a day off from school, despite what the Principal thinks of that.",John Hughes
680,Down by Law,1986,107 min,"Comedy, Crime, Drama","Two men are framed and sent to jail, where they meet a murderer who helps them escape and leave the state.",Jim Jarmusch
681,The Goonies,1985,114 min,"Adventure, Comedy, Family",A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Richard Donner
682,The Color Purple,1985,154 min,Drama,A black Southern woman struggles to find her identity after suffering abuse from her father and others over four decades.,Steven Spielberg
683,The Breakfast Club,1985,97 min,"Comedy, Drama",Five high school students meet in Saturday detention and discover how they have a lot more in common than they thought.,John Hughes
684,The Killing Fields,1984,141 min,"Biography, Drama, History","A journalist is trapped in Cambodia during tyrant Pol Pot's bloody 'Year Zero' cleansing campaign, which claimed the lives of two million 'undesirable' civilians.",Roland Joffé
685,Ghostbusters,1984,105 min,"Action, Comedy, Fantasy",Three former parapsychology professors set up shop as a unique ghost removal service.,Ivan Reitman
686,The Right Stuff,1983,193 min,"Adventure, Biography, Drama","The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Philip Kaufman
687,The King of Comedy,1982,109 min,"Comedy, Crime, Drama","Rupert Pupkin is a passionate yet unsuccessful comic who craves nothing more than to be in the spotlight and to achieve this, he stalks and kidnaps his idol to take the spotlight for himself.",Martin Scorsese
688,E.T. the Extra-Terrestrial,1982,115 min,"Family, Sci-Fi",A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.,Steven Spielberg
689,Kramer vs. Kramer,1979,105 min,Drama,"Ted Kramer's wife leaves him, allowing for a lost bond to be rediscovered between Ted and his son, Billy. But a heated custody battle ensues over the divorced couple's son, deepening the wounds left by the separation.",Robert Benton
690,Days of Heaven,1978,94 min,"Drama, Romance",A hot-tempered farm laborer convinces the woman he loves to marry their rich but dying boss so that they can have a claim to his fortune.,Terrence Malick
691,The Outlaw Josey Wales,1976,135 min,Western,Missouri farmer Josey Wales joins a Confederate guerrilla unit and winds up on the run from the Union soldiers who murdered his family.,Clint Eastwood
692,The Man Who Would Be King,1975,129 min,"Adventure, History, War","Two British former soldiers decide to set themselves up as Kings in Kafiristan, a land where no white man has set foot since Alexander the Great.",John Huston
693,The Conversation,1974,113 min,"Drama, Mystery, Thriller","A paranoid, secretive surveillance expert has a crisis of conscience when he suspects that the couple he is spying on will be murdered.",Francis Ford Coppola
694,La planète sauvage,1973,72 min,"Animation, Sci-Fi","On a faraway planet where blue giants rule, oppressed humanoids rebel against their machine-like leaders.",René Laloux
695,The Day of the Jackal,1973,143 min,"Crime, Drama, Thriller","A professional assassin codenamed ""Jackal"" plots to kill Charles de Gaulle, the President of France.",Fred Zinnemann
696,Badlands,1973,94 min,"Action, Crime, Drama",An impressionable teenage girl from a dead-end town and her older greaser boyfriend embark on a killing spree in the South Dakota badlands.,Terrence Malick
697,Cabaret,1972,124 min,"Drama, Music, Musical",A female girlie club entertainer in Weimar Republic era Berlin romances two men while the Nazi Party rises to power around them.,Bob Fosse
698,Willy Wonka & the Chocolate Factory,1971,100 min,"Family, Fantasy, Musical",A poor but hopeful boy seeks one of the five coveted golden tickets that will send him on a tour of Willy Wonka's mysterious chocolate factory.,Mel Stuart
699,Midnight Cowboy,1969,113 min,Drama,"A naive hustler travels from Texas to New York City to seek personal fortune, finding a new friend in the process.",John Schlesinger
700,Wait Until Dark,1967,108 min,Thriller,A recently blinded woman is terrorized by a trio of thugs while they search for a heroin-stuffed doll they believe is in her apartment.,Terence Young
701,Guess Who's Coming to Dinner,1967,108 min,"Comedy, Drama",A couple's attitudes are challenged when their daughter introduces them to her African-American fiancé.,Stanley Kramer
702,Bonnie and Clyde,1967,111 min,"Action, Biography, Crime","Bored waitress Bonnie Parker falls in love with an ex-con named Clyde Barrow and together they start a violent crime spree through the country, stealing cars and robbing banks.",Arthur Penn
703,My Fair Lady,1964,170 min,"Drama, Family, Musical",Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,George Cukor
704,Mary Poppins,1964,139 min,"Comedy, Family, Fantasy","In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",Robert Stevenson
705,The Longest Day,1962,178 min,"Action, Drama, History","The events of D-Day, told on a grand scale from both the Allied and German points of view.",Ken Annakin
706,Jules et Jim,1962,105 min,"Drama, Romance",Decades of a love triangle concerning two friends and an impulsive woman.,François Truffaut
707,The Innocents,1961,100 min,Horror,A young governess for two children becomes convinced that the house and grounds are haunted.,Jack Clayton
708,À bout de souffle,1960,90 min,"Crime, Drama","A small-time thief steals a car and impulsively murders a motorcycle policeman. Wanted by the authorities, he reunites with a hip American journalism student and attempts to persuade her to run away with him to Italy.",Jean-Luc Godard
709,Red River,1948,133 min,"Action, Adventure, Drama","Dunson leads a cattle drive, the culmination of over 14 years of work, to its destination in Missouri. But his tyrannical behavior along the way causes a mutiny, led by his adopted son.",Howard Hawks
710,Key Largo,1948,100 min,"Action, Crime, Drama","A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",John Huston
711,To Have and Have Not,1944,100 min,"Adventure, Comedy, Film-Noir","During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",Howard Hawks
712,Shadow of a Doubt,1943,108 min,"Film-Noir, Thriller","A young girl, overjoyed when her favorite uncle comes to visit the family, slowly begins to suspect that he is in fact the ""Merry Widow"" killer sought by the authorities.",Alfred Hitchcock
713,Stagecoach,1939,96 min,"Adventure, Drama, Western",A group of people traveling on a stagecoach find their journey complicated by the threat of Geronimo and learn something about each other in the process.,John Ford
714,The Lady Vanishes,1938,96 min,"Mystery, Thriller","While travelling in continental Europe, a rich young playgirl realizes that an elderly lady seems to have disappeared from the train.",Alfred Hitchcock
715,Bringing Up Baby,1938,102 min,"Comedy, Family, Romance","While trying to secure a $1 million donation for his museum, a befuddled paleontologist is pursued by a flighty and often irritating heiress and her pet leopard, Baby.",Howard Hawks
716,Bride of Frankenstein,1935,75 min,"Drama, Horror, Sci-Fi","Mary Shelley reveals the main characters of her novel survived: Dr. Frankenstein, goaded by an even madder scientist, builds his monster a mate.",James Whale
717,Duck Soup,1933,69 min,"Comedy, Musical, War",Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Leo McCarey
718,Scarface: The Shame of the Nation,1932,93 min,"Action, Crime, Drama","An ambitious and nearly insane violent gangster climbs the ladder of success in the mob, but his weaknesses prove to be his downfall.",Howard Hawks
719,Frankenstein,1931,70 min,"Drama, Horror, Sci-Fi",Dr. Frankenstein dares to tamper with life and death by creating a human monster out of lifeless body parts.,James Whale
720,Roma,2018,135 min,Drama,A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,Alfonso Cuarón
721,God's Own Country,2017,104 min,"Drama, Romance","Spring. Yorkshire. Young farmer Johnny Saxby numbs his daily frustrations with binge drinking and casual sex, until the arrival of a Romanian migrant worker for lambing season ignites an intense relationship that sets Johnny on a new path.",Francis Lee
